Temp,Pres,Dens
184.46,0.1,1231.1
186.3,0.1115,1225.7
187.99,0.123,1220.7
189.57,0.1345,1216
191.04,0.146,1211.6
192.42,0.1575,1207.4
193.72,0.169,1203.5
194.96,0.1805,1199.8
196.14,0.192,1196.2
197.27,0.2035,1192.8
198.34,0.215,1189.5
199.38,0.2265,1186.3
200.37,0.238,1183.2
201.33,0.2495,1180.3
202.25,0.261,1177.4
203.14,0.2725,1174.6
204.01,0.284,1171.9
204.84,0.2955,1169.3
205.66,0.307,1166.8
206.45,0.3185,1164.3
207.22,0.33,1161.8
207.97,0.3415,1159.5
208.69,0.353,1157.1
209.41,0.3645,1154.9
210.1,0.376,1152.7
210.78,0.3875,1150.5
211.44,0.399,1148.3
212.09,0.4105,1146.3
212.73,0.422,1144.2
213.35,0.4335,1142.2
213.96,0.445,1140.2
214.56,0.4565,1138.2
215.15,0.468,1136.3
215.72,0.4795,1134.4
216.29,0.491,1132.6
216.85,0.5025,1130.7
217.39,0.514,1128.9
217.93,0.5255,1127.2
218.46,0.537,1125.4
218.98,0.5485,1123.7
219.49,0.56,1122
220,0.5715,1120.3
220.49,0.583,1118.6
220.98,0.5945,1117
221.46,0.606,1115.4
221.94,0.6175,1113.8
222.41,0.629,1112.2
222.87,0.6405,1110.6
223.33,0.652,1109
223.78,0.6635,1107.5
224.22,0.675,1106
224.66,0.6865,1104.5
225.1,0.698,1103
225.52,0.7095,1101.5
225.95,0.721,1100.1
226.37,0.7325,1098.6
226.78,0.744,1097.2
227.19,0.7555,1095.8
227.59,0.767,1094.4
227.99,0.7785,1093
228.39,0.79,1091.6
228.78,0.8015,1090.3
229.16,0.813,1088.9
229.55,0.8245,1087.6
229.93,0.836,1086.2
230.3,0.8475,1084.9
230.67,0.859,1083.6
231.04,0.8705,1082.3
231.4,0.882,1081
231.76,0.8935,1079.7
232.12,0.905,1078.4
232.47,0.9165,1077.2
232.82,0.928,1075.9
233.17,0.9395,1074.7
233.52,0.951,1073.4
233.86,0.9625,1072.2
234.19,0.974,1071
234.53,0.9855,1069.8
234.86,0.997,1068.6
235.19,1.0085,1067.4
235.52,1.02,1066.2
235.84,1.0315,1065
236.16,1.043,1063.9
236.48,1.0545,1062.7
236.8,1.066,1061.5
237.11,1.0775,1060.4
237.42,1.089,1059.2
237.73,1.1005,1058.1
238.04,1.112,1057
238.34,1.1235,1055.8
238.64,1.135,1054.7
238.94,1.1465,1053.6
239.24,1.158,1052.5
239.54,1.1695,1051.4
239.83,1.181,1050.3
240.12,1.1925,1049.2
240.41,1.204,1048.1
240.7,1.2155,1047.1
240.98,1.227,1046
241.26,1.2385,1044.9
241.54,1.25,1043.9
241.82,1.2615,1042.8
242.1,1.273,1041.7
242.38,1.2845,1040.7
242.65,1.296,1039.7
242.92,1.3075,1038.6
243.19,1.319,1037.6
243.46,1.3305,1036.6
243.73,1.342,1035.5
243.99,1.3535,1034.5
244.25,1.365,1033.5
244.52,1.3765,1032.5
244.78,1.388,1031.5
245.04,1.3995,1030.5
245.29,1.411,1029.5
245.55,1.4225,1028.5
245.8,1.434,1027.5
246.05,1.4455,1026.5
246.31,1.457,1025.5
246.55,1.4685,1024.6
246.8,1.48,1023.6
247.05,1.4915,1022.6
247.3,1.503,1021.7
247.54,1.5145,1020.7
247.78,1.526,1019.7
248.02,1.5375,1018.8
248.26,1.549,1017.8
248.5,1.5605,1016.9
248.74,1.572,1015.9
248.98,1.5835,1015
249.21,1.595,1014.1
249.44,1.6065,1013.1
249.68,1.618,1012.2
249.91,1.6295,1011.3
250.14,1.641,1010.3
250.37,1.6525,1009.4
250.59,1.664,1008.5
250.82,1.6755,1007.6
251.05,1.687,1006.7
251.27,1.6985,1005.8
251.49,1.71,1004.9
251.72,1.7215,1004
251.94,1.733,1003.1
252.16,1.7445,1002.2
252.38,1.756,1001.3
252.59,1.7675,1000.4
252.81,1.779,999.47
253.03,1.7905,998.58
253.24,1.802,997.7
253.46,1.8135,996.81
253.67,1.825,995.93
253.88,1.8365,995.05
254.09,1.848,994.18
254.3,1.8595,993.3
254.51,1.871,992.43
254.72,1.8825,991.56
254.92,1.894,990.7
255.13,1.9055,989.83
255.34,1.917,988.97
255.54,1.9285,988.11
255.74,1.94,987.25
255.95,1.9515,986.4
256.15,1.963,985.54
256.35,1.9745,984.69
256.55,1.986,983.84
256.75,1.9975,983
256.95,2.009,982.15
257.15,2.0205,981.31
257.34,2.032,980.47
257.54,2.0435,979.63
257.73,2.055,978.79
257.93,2.0665,977.96
258.12,2.078,977.12
258.31,2.0895,976.29
258.51,2.101,975.46
258.7,2.1125,974.64
258.89,2.124,973.81
259.08,2.1355,972.99
259.27,2.147,972.16
259.45,2.1585,971.34
259.64,2.17,970.53
259.83,2.1815,969.71
260.02,2.193,968.89
260.2,2.2045,968.08
260.39,2.216,967.27
260.57,2.2275,966.46
260.75,2.239,965.65
260.94,2.2505,964.84
261.12,2.262,964.03
261.3,2.2735,963.23
261.48,2.285,962.43
261.66,2.2965,961.63
261.84,2.308,960.83
262.02,2.3195,960.03
262.2,2.331,959.23
262.37,2.3425,958.44
262.55,2.354,957.64
262.73,2.3655,956.85
262.9,2.377,956.06
263.08,2.3885,955.27
263.25,2.4,954.48
263.42,2.4115,953.69
263.6,2.423,952.91
263.77,2.4345,952.12
263.94,2.446,951.34
264.11,2.4575,950.56
264.28,2.469,949.78
264.45,2.4805,949
264.62,2.492,948.22
264.79,2.5035,947.44
264.96,2.515,946.67
265.13,2.5265,945.89
265.3,2.538,945.12
265.46,2.5495,944.35
265.63,2.561,943.57
265.79,2.5725,942.8
265.96,2.584,942.04
266.12,2.5955,941.27
266.29,2.607,940.5
266.45,2.6185,939.74
266.61,2.63,938.97
266.78,2.6415,938.21
266.94,2.653,937.44
267.1,2.6645,936.68
267.26,2.676,935.92
